iter	Logloss
0	0.6103748611
1	0.5471275376
2	0.4985524391
3	0.4591303246
4	0.4208940211
5	0.3922117555
6	0.3627252676
7	0.3388561398
8	0.3190097275
9	0.2996483019
10	0.2844733558
11	0.2693486477
12	0.2567138168
13	0.2458155221
14	0.2364290665
15	0.2270730533
16	0.2192493955
17	0.2134225069
18	0.2073839188
19	0.2014696913
20	0.1950219739
21	0.189633852
22	0.1857231952
23	0.1806820198
24	0.176721567
25	0.1722998268
26	0.1697442403
27	0.1671173538
28	0.1651048132
29	0.1626726207
30	0.1603887154
31	0.157806515
32	0.1555885089
33	0.1538902229
34	0.1519766468
35	0.1499903876
36	0.1487291648
37	0.1473275211
38	0.1460567819
39	0.1449021
40	0.1439926663
41	0.1427145546
42	0.1417901135
43	0.1408313805
44	0.1395628255
45	0.1386435679
46	0.1372970724
47	0.1366413612
48	0.1360167384
49	0.1350227537
50	0.1343256767
51	0.133683293
52	0.1329068314
53	0.13207155
54	0.1312095485
55	0.1304338226
56	0.129815566
57	0.1293729206
58	0.1289333786
59	0.1284164007
60	0.1274822641
61	0.1269301858
62	0.1263846665
63	0.1257459128
64	0.1251072699
65	0.1246625977
66	0.1238561833
67	0.1232767383
68	0.1228393197
69	0.1225202943
70	0.1219514337
71	0.1215481732
72	0.1210768264
73	0.1207805518
74	0.1203657627
75	0.1199891194
76	0.1196517905
77	0.1191270671
78	0.118867597
79	0.1185743738
80	0.1182408657
81	0.1179071932
82	0.1175019443
83	0.1171771525
84	0.1169612869
85	0.1165960499
86	0.1163692462
87	0.1160891547
88	0.1157722778
89	0.1154809156
90	0.115205554
91	0.1149064139
92	0.1146118634
93	0.1143578788
94	0.1141602628
95	0.1138329999
96	0.1136104308
97	0.1132921252
98	0.1130852483
99	0.112837183
100	0.112636241
101	0.112425608
102	0.1121961215
103	0.1119847757
104	0.1115715916
105	0.1112755591
106	0.1110160485
107	0.1107413217
108	0.1105272167
109	0.1102934732
110	0.11011335
111	0.1098871267
112	0.1096827334
113	0.1095076696
114	0.1093000037
115	0.1091735207
116	0.1089899168
117	0.1087771521
118	0.1084851326
119	0.1082790366
120	0.108074115
121	0.1079131075
122	0.1077601234
123	0.1075238846
124	0.1073130565
125	0.1071362687
126	0.106989737
127	0.1068499577
128	0.1066669167
129	0.1065567303
130	0.1063673624
131	0.1062559931
132	0.1060201636
133	0.1059135561
134	0.1057740729
135	0.1056821527
136	0.1055318996
137	0.1054062551
138	0.1052764847
139	0.1050760989
140	0.1049765955
141	0.1047756736
142	0.1046245588
143	0.1044477088
144	0.1043194159
145	0.1042368279
146	0.1040899594
147	0.1039247263
148	0.1037216316
149	0.1036109796
150	0.1033821032
151	0.1032895743
152	0.1031576422
153	0.1030690746
154	0.1029185326
155	0.1027618967
156	0.1026737204
157	0.1025670079
158	0.102479815
159	0.1023621479
160	0.1021729064
161	0.1019693319
162	0.1017955338
163	0.101647513
164	0.1014948314
165	0.101365825
166	0.1012750231
167	0.1011174258
168	0.1009980339
169	0.1008262779
170	0.1007008747
171	0.1006473799
172	0.1005471929
173	0.1004300361
174	0.1003194099
175	0.1002382712
176	0.1001396732
177	0.100068416
178	0.0999810253
179	0.09985752474
180	0.09978891686
181	0.09963345441
182	0.09949048851
183	0.0993215173
184	0.09919416723
185	0.0991066401
186	0.09902956071
187	0.0989499468
188	0.0988037361
189	0.09869420982
190	0.09857125546
191	0.09847203469
192	0.09837434269
193	0.09822220849
194	0.09813874607
195	0.09803160881
196	0.09797041205
197	0.09786596037
198	0.09784061747
199	0.09776725552
200	0.09769170136
201	0.09760082923
202	0.09749527115
203	0.0974410544
204	0.09736694823
205	0.0972310578
206	0.09712628301
207	0.09704317231
208	0.0969634699
209	0.09686412084
210	0.09671346551
211	0.09663813342
212	0.09653431351
213	0.09644139933
214	0.09638444216
215	0.09628830249
216	0.09618629507
217	0.09611566408
218	0.09608052968
219	0.09598802427
220	0.09586719253
221	0.09574311763
222	0.09565999059
223	0.09563499603
224	0.095544234
225	0.09545729057
226	0.09538139063
227	0.09529920833
228	0.09522237813
229	0.09507267117
230	0.09498399283
231	0.09485591325
232	0.09476194998
233	0.09465918998
234	0.09454851528
235	0.09445121402
236	0.09438059717
237	0.09427958872
238	0.0941954549
239	0.09410777721
240	0.09401173279
241	0.09395076372
242	0.09390368141
243	0.0937727319
244	0.09369557144
245	0.09362376914
246	0.09355273901
247	0.0935091466
248	0.09343858002
249	0.09338909995
250	0.09330276054
251	0.0932459943
252	0.09315908547
253	0.09309815714
254	0.09301774848
255	0.09291956144
256	0.09285737521
257	0.09280959536
258	0.09274417915
259	0.09267405368
260	0.09262073053
261	0.09257830001
262	0.09252749164
263	0.09246265057
264	0.09234819853
265	0.09228346246
266	0.09213585155
267	0.09209558386
268	0.0920335953
269	0.09197266763
270	0.09192208466
271	0.09183922646
272	0.09178200369
273	0.09169800492
274	0.09162665043
275	0.09154141634
276	0.09151125515
277	0.09146460534
278	0.09136462961
279	0.09129560428
280	0.09120185008
281	0.09114483809
282	0.09106730798
283	0.09098553645
284	0.09093091371
285	0.09086940494
286	0.09079356674
287	0.0907036593
288	0.09064161513
289	0.09059441347
290	0.09053856328
291	0.09049426995
292	0.0904273176
293	0.09036223311
294	0.09029877132
295	0.09024116732
296	0.09019044242
297	0.09012785233
298	0.09006325174
299	0.09001361447
